2026-03-08 16:59:46,192 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 16:59:47,647 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 16:59:48,636 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 16:59:49,638 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 16:59:50,635 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 16:59:51,628 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 16:59:52,632 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 16:59:53,625 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 16:59:54,644 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 17:01:23,620 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 17:01:25,106 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 17:01:26,107 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 17:01:27,101 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
2026-03-08 17:01:28,110 | 🔴 SELL | Prob: 0.7299 | Time: 2026-03-06 23:59:00
